Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
造字工房版黑（非商用）常规体 (Regular),造字工房版黑（非商用）常规体,Regular,造字工房版黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房博黑（非商用）常规体 (Regular),造字工房博黑（非商用）常规体,Regular,造字工房博黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房典黑（非商用）常规体 (Regular),造字工房典黑（非商用）常规体,Regular,造字工房典黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7258,7211
造字工房典黑（非商用）超粗体 (Regular),造字工房典黑（非商用）超粗体,Regular,造字工房典黑（非商用）,超粗体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7258,7211
造字工房典黑（非商用）超细体 (Regular),造字工房典黑（非商用）超细体,Regular,造字工房典黑（非商用）,超细体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7258,7211
造字工房典黑（非商用）粗体 (Regular),造字工房典黑（非商用）粗体,Regular,造字工房典黑（非商用）,粗体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7258,7211
造字工房典黑（非商用）特细体 (Regular),造字工房典黑（非商用）特细体,Regular,造字工房典黑（非商用）,特细体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7258,7211
造字工房典黑（非商用）细体 (Regular),造字工房典黑（非商用）细体,Regular,造字工房典黑（非商用）,细体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7258,7211
造字工房典黑（非商用）纤细体 (Regular),造字工房典黑（非商用）纤细体,Regular,造字工房典黑（非商用）,纤细体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7259,7212
造字工房丁丁（非商用）常规体 (Regular),造字工房丁丁（非商用）常规体,Regular,造字工房丁丁（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7179,7176
造字工房鼎黑(非商用）常规体 (Regular),造字工房鼎黑(非商用）常规体,Regular,造字工房鼎黑(非商用）,常规体,Version 1.00;December 8, 2017,    ,Regular,5 (Medium),400 (Normal),16,7254,7213
造字工房梵宋(非商用）常规体 (Regular),造字工房梵宋(非商用）常规体,Regular,造字工房梵宋(非商用）,常规体,Version 1.00;December 7, 2017,    ,Regular,5 (Medium),400 (Normal),16,7256,7213
造字工房方黑（非商用）常规体 (Regular),造字工房方黑（非商用）常规体,Regular,造字工房方黑（非商用）,常规体,Version 1.000;PS 1;hotconv 16.6.51;makeotf.lib2.5.65220,WYUE,Regular,5 (Medium),400 (Normal),16,7259,7022
造字工房黄金时代（非商用）粗体 (Regular),造字工房黄金时代（非商用）粗体,Regular,造字工房黄金时代（非商用）,粗体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7261,7220
造字工房黄金时代（非商用）细体 (Regular),造字工房黄金时代（非商用）细体,Regular,造字工房黄金时代（非商用）,细体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7261,7220
造字工房佳黑（非商用）常规体 (Regular),造字工房佳黑（非商用）常规体,Regular,造字工房佳黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房坚黑（非商用）常规体 (Regular),造字工房坚黑（非商用）常规体,Regular,造字工房坚黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房锦华(非商用）常规体 (Regular),造字工房锦华(非商用）常规体,Regular,造字工房锦华(非商用）,常规体,Version 1.00;November 24, 2017,    ,Regular,5 (Medium),400 (Normal),16,7256,7213
造字工房锦华(非商用）新潮体 (Regular),造字工房锦华(非商用）新潮体,Regular,造字工房锦华(非商用）新潮体,常规体,Version 1.00;November 24, 2017,    ,Regular,5 (Medium),400 (Normal),16,7256,7213
造字工房锦宋（非商用）常规体 (Regular),造字工房锦宋（非商用）常规体,Regular,造字工房锦宋（非商用）,常规体,Version 1.000;PS 1;hotconv 16.6.51;makeotf.lib2.5.65220,WYUE,Regular,5 (Medium),400 (Normal),16,7259,7022
造字工房劲黑（非商用）常规体 (Regular),造字工房劲黑（非商用）常规体,Regular,造字工房劲黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房景悦(非商用）常规体 (Regular),造字工房景悦(非商用）常规体,Regular,造字工房景悦(非商用）,常规体,Version 1.00;November 24, 2017,    ,Regular,5 (Medium),400 (Normal),16,7256,7213
造字工房静黑（非商用）常规体 (Regular),造字工房静黑（非商用）常规体,Regular,造字工房静黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房静黑（非商用）特细体 (Regular),造字工房静黑（非商用）特细体,Regular,造字工房静黑（非商用）,特细体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房静黑（非商用）细体 (Regular),造字工房静黑（非商用）细体,Regular,造字工房静黑（非商用）,细体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房俊雅（非商用）常规体 (Regular),造字工房俊雅（非商用）常规体,Regular,造字工房俊雅（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房可可（非商用）常规体 (Regular),造字工房可可（非商用）常规体,Regular,造字工房可可（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房刻宋（非商用）常规体 (Regular),造字工房刻宋（非商用）常规体,Regular,造字工房刻宋（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7259,7212
造字工房刻宋（非商用）粗体 (Regular),造字工房刻宋（非商用）粗体,Regular,造字工房刻宋（非商用）,粗体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7259,7212
造字工房朗倩（非商用）常规体 (Regular),造字工房朗倩（非商用）常规体,Regular,造字工房朗倩（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房朗倩（非商用）粗体 (Regular),造字工房朗倩（非商用）粗体,Regular,造字工房朗倩（非商用）,粗体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房朗倩（非商用）细体 (Regular),造字工房朗倩（非商用）细体,Regular,造字工房朗倩（非商用）,细体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房朗宋（非商用）常规体 (Regular),造字工房朗宋（非商用）常规体,Regular,造字工房朗宋（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房力黑（非商用）常规体 (Regular),造字工房力黑（非商用）常规体,Regular,造字工房力黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房凌黑（非商用）常规体 (Regular),造字工房凌黑（非商用）常规体,Regular,造字工房凌黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房凌毅(非商用）常规体 (Regular),造字工房凌毅(非商用）常规体,Regular,造字工房凌毅(非商用）,常规体,Version 1.00;November 24, 2017,    ,Regular,5 (Medium),400 (Normal),16,7256,7213
造字工房漫语（非商用）常规体 (Regular),造字工房漫语（非商用）常规体,Regular,造字工房漫语（非商用）,常规体,Version 1.000;PS 1;hotconv 16.6.51;makeotf.lib2.5.65220,WYUE,Regular,5 (Medium),400 (Normal),16,7259,7022
造字工房梦缘(非商用）常规体 (Regular),造字工房梦缘(非商用）常规体,Regular,造字工房梦缘(非商用),常规体,Version 1.00;November 24, 2017,    ,Regular,5 (Medium),400 (Normal),16,7256,7213
造字工房妙妙（非商用）常规体 (Regular),造字工房妙妙（非商用）常规体,Regular,造字工房妙妙（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房明黑（非商用）常规体 (Regular),造字工房明黑（非商用）常规体,Regular,造字工房明黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.81;makeotf.lib2.5.63406,WYUE,Regular,5 (Medium),400 (Normal),16,7228,7214
造字工房摩登（非商用）常规体 (Regular),造字工房摩登（非商用）常规体,Regular,造字工房摩登（非商用）,常规体,Version 1.000;PS 1;hotconv 16.6.51;makeotf.lib2.5.65220,WYUE,Regular,5 (Medium),400 (Normal),16,7259,7022
造字工房念真(非商用）常规体 (Regular),造字工房念真(非商用）常规体,Regular,造字工房念真(非商用),常规体,Version 1.00;November 24, 2017,    ,Regular,5 (Medium),400 (Normal),16,7256,7213
造字工房品宋（非商用）常规体 (Regular),造字工房品宋（非商用）常规体,Regular,造字工房品宋（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7259,7212
造字工房情书（非商用）常规体 (Regular),造字工房情书（非商用）常规体,Regular,造字工房情书（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房情书繁（非商用）常规体 (Regular),造字工房情书繁（非商用）常规体,Regular,造字工房情书繁（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.79;makeotf.lib2.5.61930,WYUE,Regular,5 (Medium),400 (Normal),16,7208,7166
造字工房尚黑（非商用）常规体 (Regular),造字工房尚黑（非商用）常规体,Regular,造字工房尚黑（非商用）,常规体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房尚黑（非商用）粗体 (Regular),造字工房尚黑（非商用）粗体,Regular,造字工房尚黑（非商用）,粗体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房尚黑（非商用）特细超长体 (Regular),造字工房尚黑（非商用）特细超长体,Regular,造字工房尚黑（非商用）,特细超长体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
造字工房尚黑（非商用）特细体 (Regular),造字工房尚黑（非商用）特细体,Regular,造字工房尚黑（非商用）,特细体,Version 1.000;PS 1;hotconv 1.0.57;makeotf.lib2.0.21895,WYUE,Regular,5 (Medium),400 (Normal),16,7230,7222
